2026 NFL Schedule with Kickoff Times:

Week 1:
  Buccaneers @ Cowboys                 8:20 PM ET (Sunday Night Football)
  Steelers @ Jaguars                   8:15 PM ET (Monday Night Football)
  Vikings @ Jets                       1:00 PM ET
  Chargers @ Raiders                   4:05 PM ET
  Panthers @ Packers                   1:00 PM ET
  Saints @ Falcons                     1:00 PM ET
  Eagles @ 49ers                       4:25 PM ET
  Bears @ Dolphins                     1:00 PM ET
  Cardinals @ Seahawks                 4:05 PM ET
  Bye: Bengals, Broncos, Lions, Ravens

Week 15:
  Packers @ Vikings                    1:00 PM ET
  Browns @ Steelers                    1:00 PM ET
  Giants @ Lions                       8:20 PM ET (Sunday Night Football)
  49ers @ Cardinals                    4:05 PM ET
  Rams @ Buccaneers                    4:25 PM ET
  Dolphins @ Patriots                  1:00 PM ET
  Jaguars @ Bears                      1:00 PM ET
  Bengals @ Texans                     4:30 PM ET (Saturday)
  Colts @ Eagles                       8:15 PM ET (Monday Night Football)
  Saints @ Ravens                      1:00 PM ET
  Broncos @ Chargers                   4:25 PM ET
  Falcons @ Commanders                 8:00 PM ET (Saturday Night Football)
  Raiders @ Chiefs                     4:05 PM ET
  Jets @ Bills                         1:00 PM ET
  Titans @ Cowboys                     1:00 PM ET
  Seahawks @ Panthers                  8:15 PM ET (Thursday Night Football)

Week 16:
  Buccaneers @ Lions                   8:15 PM ET (Monday Night Football)
  Titans @ Raiders                     4:05 PM ET
  Patriots @ Jets                      1:00 PM ET
  Colts @ Vikings                      8:00 PM ET (Saturday Night Football)
  Commanders @ Cardinals               4:25 PM ET
  Ravens @ Bengals                     1:00 PM ET (Christmas Day Football)
  Browns @ Saints                      1:00 PM ET
  Panthers @ Steelers                  4:30 PM ET (Saturday)
  Rams @ Seahawks                      4:30 PM ET (Christmas Afternoon Football)
  Jaguars @ Giants                     8:15 PM ET (Thursday Night Football)
  Chiefs @ Chargers                    4:25 PM ET
  Texans @ Eagles                      1:00 PM ET
  Dolphins @ 49ers                     4:05 PM ET
  Cowboys @ Packers                    8:20 PM ET (Christmas Night Football)
  Bills @ Broncos                      8:20 PM ET (Sunday Night Football)
  Bears @ Falcons                      1:00 PM ET

Week 17:
  Patriots @ Jaguars                   8:20 PM ET (Sunday Night Football)
  Chargers @ Bills                     8:00 PM ET (Saturday Night Football)
  Lions @ Bears                        4:25 PM ET
  Texans @ Colts                       1:00 PM ET
  Seahawks @ Commanders                1:00 PM ET
  Vikings @ Packers                    8:15 PM ET (Thursday Night Football)
  49ers @ Chiefs                       4:25 PM ET
  Steelers @ Buccaneers                1:00 PM ET
  Broncos @ Jets                       4:05 PM ET
  Ravens @ Falcons                     1:00 PM ET
  Giants @ Rams                        4:05 PM ET
  Panthers @ Saints                    1:00 PM ET
  Eagles @ Titans                      1:00 PM ET
  Bengals @ Dolphins                   8:15 PM ET (Monday Night Football)
  Cardinals @ Cowboys                  4:30 PM ET (Saturday)
  Raiders @ Browns                     1:00 PM ET

Week 18:
  Bills @ Patriots                     TBD (Flex Scheduling - Nighttime)
  Seahawks @ 49ers                     TBD (Flex Scheduling - Nighttime)
  Jaguars @ Colts                      TBD (Flex Scheduling - Nighttime)
  Chiefs @ Broncos                     TBD (Flex Scheduling - Nighttime)
  Bears @ Vikings                      TBD (Flex Scheduling - Nighttime)
  Cowboys @ Eagles                     TBD (Flex Scheduling - Nighttime)
  Packers @ Lions                      TBD (Flex Scheduling - Nighttime)
  Steelers @ Bengals                   TBD (Flex Scheduling - Nighttime)
  Falcons @ Panthers                   TBD (Flex Scheduling - Nighttime)
  Cardinals @ Rams                     TBD (Flex Scheduling - Nighttime)
  Titans @ Texans                      TBD (Flex Scheduling - Nighttime)
  Saints @ Buccaneers                  TBD (Flex Scheduling - Nighttime)
  Raiders @ Chargers                   TBD (Flex Scheduling - Nighttime)
  Browns @ Ravens                      TBD (Flex Scheduling - Nighttime)
  Jets @ Dolphins                      TBD (Flex Scheduling - Nighttime)
  Giants @ Commanders                  TBD (Flex Scheduling - Nighttime)

